2000,366.4,0,1361.4,2.97,14.4,5.2,16.07
1999,364.77,0,1361.3,1.77,15.9,5.33,16.47
1998,363.14,0,1361,3.27,14.5,6.1,15.6
1997,361.52,0,1360.6,0.7,17.27,3.97,16.93
1996,359.91,0,1360.5,-1.87,15.17,2.93,16.3
1995,358.3,0,1360.6,3.17,16.27,5.97,17.77
1994,356.71,0,1360.8,1.17,16.33,4.73,16.6
1993,355.12,0,1361,2.53,14,4.73,15.5
1992,353.54,0,1361.3,3.77,16.53,4.5,16.3
1991,351.98,21.4,1361.5,1.67,15.37,3.13,15.93
1990,350.43,0,1361.5,4.23,15.7,6.33,16.97
1989,348.89,0,1361.6,4.67,15.47,6.43,16.9
1988,347.37,0,1361.3,3.17,15.83,5.07,15.3
1987,345.86,0,1360.7,-0.67,13.5,3.37,15.23
1986,344.37,0,1360.6,-1.03,14.63,2.77,15.23
1985,342.9,0,1360.6,-1.77,14.73,2.3,15.03
1984,341.45,0,1360.9,1.23,14.83,4.1,16.77
1983,340.02,0,1361.1,2.53,15.67,4.13,17.4
1982,338.61,0,1361.4,-2.17,16.03,2.3,16.4
1981,337.23,0,1361.5,1.27,14.7,4.27,15.7
1980,335.88,0,1361.5,-0.17,15.4,4.67,15.1
1979,334.55,0,1361.5,-2.43,14.23,1.7,15.5
1978,333.26,0,1361.3,0.9,14.87,4.07,14.93
1977,331.99,0,1360.7,-0.23,15,3.23,14.77
1976,330.76,0,1360.5,1.8,16.23,5.17,17.73
1975,329.56,0,1360.6,3.7,16.47,6.33,17.1
1974,328.39,0,1360.8,2.57,14.83,5.57,15.03
1973,327.26,0,1360.8,2.87,15.9,5,15.93
1972,326.17,0,1361.1,0.97,15.6,4.97,14.43
1971,325.11,0,1361.1,1.97,15.17,4.33,15.4
1970,324.09,0,1361.3,-2.8,16,3.47,16.2
1969,323.11,0,1361.3,-0.83,16.4,3.17,16.07
1968,322.16,0,1361.3,0.27,15.63,3.6,15.6
1967,321.26,0,1361.2,1.27,15.1,5,16.03
1966,320.4,0,1360.9,-1.63,15,4.47,15.47
1965,319.58,0,1360.5,1.17,14.03,3.33,14.87
1964,318.8,7.2,1360.5,0.57,14.13,3.33,15.47
1963,318.06,0,1360.7,-3.03,15.13,-0.5,15
1962,317.36,0,1360.8,1.17,13.43,3.57,14.67
1961,316.7,0,1360.9,1.73,14.73,4.87,15.53
1960,316.08,0,1361.3,0.1,15.03,4.6,15.87
1959,315.5,0,1361.4,1,16.4,3.5,17.07
1958,314.96,0,1361.4,-0.23,15.07,4.4,15.37
1957,314.45,8.6,1361.4,2.23,15,5.43,16
1956,313.99,0,1361.4,-1.7,14.17,3,14.5
1955,313.55,0,1360.8,-0.03,16.27,3.47,16.6
1954,313.15,0,1360.4,0.07,14.8,4.23,14.3
1953,312.79,0,1360.5,0.43,16.1,3.7,15.6
1952,312.46,0,1360.7,2.3,14.7,4.1,16.1
1951,312.16,0,1361,-0.1,15.17,3,15.27
1950,311.89,0,1361.1,1.57,15.83,5.4,16.5
1949,311.65,0,1361.4,3.23,15.03,5.77,16.8
1948,311.42,0,1361.4,0.53,15.6,5.5,15.2
1947,311.22,5.2,1361.4,-2.93,17.13,1.43,17.4
1946,311.02,0,1361.3,1.07,15.03,4.9,15
1945,310.84,0,1360.7,0.73,15.7,4.1,16.03
